,budget_x,movie_facebook_likes,War,actor_3_facebook_likes,Drama,Action,cast_total_facebook_likes,cinematographer,mpaa,composer
274,-0.066160824,-0.569035602,1,-0.453961637,1,0,-0.623797624,206,3,89
275,0.264554765,-0.569035602,0,-0.28403285,0,1,-0.037886349,248,2,82
276,0.183466645,-0.569035602,0,-0.395709534,1,0,-0.758695434,65,2,106
277,0.306380387,-0.539328748,0,-0.407939257,1,1,-0.804272366,0,3,77
278,-0.0752123,-0.000785475,0,-0.202930475,1,0,-0.309168173,26,1,4
279,-0.511584752,0.567464652,0,-0.231895609,0,1,-0.248085177,21,2,147
280,-0.321238255,-0.569035602,0,-0.429180355,0,1,-0.805312709,122,2,35
281,-0.106097638,-0.557228627,0,-0.279527163,0,0,-0.736996851,61,2,54
282,0.2824566,-0.569035602,0,-0.37607761,0,0,-0.561773364,51,1,54
283,-0.186062165,-0.348049441,0,-0.388307333,1,0,-0.247441155,61,2,168
284,-0.005102772,-0.569035602,0,-0.26536643,0,1,-0.711830458,239,1,34
285,0.067982273,-0.569035602,0,-0.295618904,0,1,0.206495178,16,2,104
286,0.067982273,-0.474327247,0,-0.411801275,0,1,-0.696671175,97,2,45
287,-0.325572216,-0.190202184,0,-0.303986609,1,0,0.952817437,100,3,56
288,0.31786768,-0.569035602,0,-0.155620756,0,1,-0.587336078,193,2,184
289,0.170827882,-0.569035602,0,-0.141460024,1,0,0.177415114,61,2,99
290,-0.106399168,1.230423134,0,1.145879269,0,1,1.419832368,115,3,27
291,-0.211253528,3.850687609,0,-0.278239823,0,1,1.597532862,249,2,91
292,-0.139734711,1.198853683,0,-0.314928993,0,0,-0.076874441,143,3,33
293,-0.128224028,0.125492331,0,-0.427893016,0,1,0.372801439,76,2,5
294,0.116033416,-0.569035602,0,-0.327802386,0,0,-0.198247793,61,2,174
295,-0.238947635,-0.569035602,0,-0.227389921,0,0,-0.674823971,245,0,130
296,-0.204362955,-0.127063281,0,3.076888207,0,0,1.068790913,243,2,168
297,-0.037613243,-0.569035602,0,3.076888207,0,1,1.342698365,61,2,184
298,0.147396161,-0.569035602,0,-0.352905502,1,0,0.246919935,163,2,79
299,-0.037613243,-0.569035602,0,-0.303986609,0,0,-0.240951396,164,1,168
300,0.186761452,-0.569035602,0,-0.200033961,1,0,-0.042939443,40,3,179
301,-0.139734711,0.030783977,0,-0.301411931,0,0,-0.067858135,243,2,168
302,-0.037613243,-0.569035602,0,-0.168815984,0,1,-0.597343187,49,2,27
303,0.12396444,-0.569035602,0,4.686062322,1,0,2.150797183,126,3,71
304,-0.106399168,0.062353428,0,2.755053384,1,1,1.342648825,66,3,22
305,-0.296139261,-0.569035602,0,-0.451065123,0,0,-0.813833613,130,1,33
306,-0.037613243,-0.569035602,0,-0.440444574,1,0,0.222892966,59,2,186
307,-0.459402262,2.019659422,1,-0.238975975,1,1,0.13456289,216,3,173
308,-0.106399168,-0.569035602,0,-0.342606788,0,0,-0.658921585,182,1,99
309,-0.139734711,-0.569035602,0,-0.376721279,0,0,-0.609480522,164,1,168
310,0.108840538,-0.569035602,0,-0.301733765,1,0,0.116976139,242,3,157
311,0.186761452,-0.474327247,0,-0.430467695,0,1,-0.78153344,68,2,114
312,0.226953414,-0.569035602,0,-0.199390292,0,1,0.408569423,176,3,152
313,-0.041310784,-0.539013053,0,-0.41083577,0,1,-0.734718005,189,1,89
314,0.267989407,-0.569035602,0,-0.251527533,0,0,0.371315235,243,2,174
315,0.250899873,-0.569035602,0,-0.182976716,0,1,0.466630471,172,2,46
316,-0.072363579,-0.569035602,0,-0.141460024,0,1,0.021660904,175,2,163
317,0.267989407,-0.569035602,0,-0.404399074,1,0,-0.786190213,10,2,182
318,-0.204362955,-0.569035602,0,-0.395709534,0,0,-0.778957353,121,1,151
319,-0.629819502,-0.569035602,0,-0.450099619,0,1,-0.828497496,93,2,63
320,-0.072363579,-0.569035602,0,-0.453639802,1,0,-0.845935626,65,2,11
321,0.147396161,-0.569035602,1,-0.14725305,0,1,1.297567295,29,2,27
